chemical_cas,chemical,species,n_records,LC50_ugL,amp_k_M,amp_p_M,amp_L_m
63252,Carbaryl,Cirrhinus_mrigala,9,4770.0,0.0031715838868482827,16.5913,1.9455999999999998
63252,Carbaryl,Clarias_batrachus,18,50019.0,0.006903925484291505,36.023,6.5515
63252,Carbaryl,Culex_pipiens,7,860.0,0.7097511410417019,3150.7196,0.016333
63252,Carbaryl,Cyprinella_lutrensis,1,13000.0,0.0043000079019203,22.458,0.89448
63252,Carbaryl,Cyprinodon_bovinus,5,4540.0,0.010083723440350505,52.4968,1.3669
63252,Carbaryl,Cyprinodon_macularius,4,7712.0,0.007618503019041628,39.7479,0.72646
63252,Carbaryl,Cyprinodon_variegatus,12,4595.7,0.020150287413280475,101.6582,0.70494
63252,Carbaryl,Cyprinus_carpio,17,4220.0,0.06982722921827558,364.5424,6.3743
63252,Carbaryl,Danio_rerio,4,27277.0,0.04613294198584298,243.001,0.22178
63252,Carbaryl,Daphnia_magna,15,1900.0,0.2727272727272727,1200.0,0.1516
63252,Carbaryl,Daphnia_pulex,7,32.42,0.35948741007194246,1599.0,0.1426
63252,Carbaryl,Eisenia_fetida,1,2.7534e7,1.1336905808852944,4740.8319,0.3431
63252,Carbaryl,Euphlyctis_hexadactylus,4,83028.0,0.006356155620209388,46.4358,4.7914
63252,Carbaryl,Fejervarya_limnocharis,1,3230.0,0.002041530703168853,14.9561,1.6241
63252,Carbaryl,Fundulus_grandis,7,10000.0,0.01760414271555996,88.8129,1.9392
63252,Carbaryl,Gambusia_affinis,8,32099.0,0.02527337432886779,132.0429,1.0436
63252,Carbaryl,Gammarus_pseudolimnaeus,15,11.5,0.027952071355678957,123.995,0.14742
63252,Carbaryl,Gammarus_pulex,3,29.0,0.0726239259410423,323.3844,0.11140000000000001
63252,Carbaryl,Gasterosteus_aculeatus,7,6175.0,0.020840201294712795,108.9732,1.5136
63252,Carbaryl,Gila_elegans,14,3886.8,0.050618788859731166,265.6479,5.7281
63252,Carbaryl,Heteropneustes_fossilis,10,22623.0,0.0061944643894627635,32.2586,4.6861
63252,Carbaryl,Homarus_americanus,4,21.981,0.014803375611322285,65.7849,3.7377
63252,Carbaryl,Hoplobatrachus_tigerinus,7,6700.0,0.002978105573835073,21.7839,8.8817
63252,Carbaryl,Hyalella_azteca,10,11.99,0.06430588458497567,285.2572,0.19694
63252,Carbaryl,Ictalurus_punctatus,21,11500.0,0.008979980036101785,50.9177,0.65076
63252,Carbaryl,Indoplanorbis_exustus,2,28983.0,0.05504434055002621,215.322,0.29583000000000004
63252,Carbaryl,Labeo_rohita,7,8240.0,0.014343846513058733,74.8928,5.5876
63252,Carbaryl,Lepomis_cyanellus,4,11100.0,0.0037160193295336682,19.3636,8.6443
63252,Carbaryl,Lepomis_macrochirus,47,7400.0,0.0047639051563901,24.8933,4.417700000000001
63252,Carbaryl,Leptodora_kindtii,5,3.605,0.20907982269496367,165.2403,0.23295999999999997
63252,Carbaryl,Lithobates_catesbeianus,1,11830.0,0.02053001230522806,150.1758,5.4308
63252,Carbaryl,Litopenaeus_stylirostris,1,29.8,0.01417247188348593,62.8558,0.10301
63252,Carbaryl,Lumbricus_terrestris,1,26660.0,0.3253289805591535,1360.0,1.135
63252,Carbaryl,Lymnaea_stagnalis,2,14990.0,0.015017948717948718,58.57,0.2959
