amp_key,comadre_species,k_M,lambda_A0,g,comadre_log_damping,generation_time,class,order,family
Cervus_elaphus,Cervus elaphus,0.0017699349564587676,0.0017699349564587676,1.0,0.10312,8.356,Mammalia,Artiodactyla,Cervidae
Chasmistes_liorus,Chasmistes liorus,0.005623365843536004,0.005623365843536004,1.0,0.05212,48.9294,Actinopterygii,Cypriniformes,Catostomidae
Chelonia_mydas,Chelonia mydas,0.001547189292543021,0.001968674383567345,1.354145818467384,0.06766,36.165,Reptilia,Testudines,Cheloniidae
Chelydra_serpentina,Chelydra serpentina,0.00045463145921173726,0.0022611982777770503,6.165803678009696,0.11767,57.8806,Reptilia,Testudines,Chelydridae
Chlorocebus_aethiops,Chlorocebus aethiops,0.002319198981811152,0.002319198981811152,1.0,0.5514,6.1925,Mammalia,Primates,Cercopithecidae
Chroicocephalus_ridibundus,Larus ridibundus,0.014564686979290645,0.014564686979290645,1.0,0.48447,8.2339,Aves,Charadriiformes,Laridae
Chrosomus_oreas,Chrosomus oreas,0.007028259329602574,0.01959918288375522,3.325213093883168,0.00027,2.002,Actinopterygii,Cypriniformes,Cyprinidae
Chrysemys_picta,Chrysemys picta,0.0023002664193029947,0.0023002664193029947,1.0,0.0588,13.1873,Reptilia,Testudines,Emydidae
Ciconia_ciconia,Ciconia ciconia,0.005484882380855535,0.005484882380855535,1.0,0.45817,5.3645,Aves,Ciconiiformes,Ciconiidae
Clemmys_guttata,Clemmys guttata,0.0014369670568425822,0.0035960842241708453,2.953317095309185,0.23777,27.5062,Reptilia,Testudines,Emydidae
Clinocottus_analis,Clinocottus analis,0.007859475244200581,0.011845998978597339,1.6593927321725301,0.32761,5.2874,Actinopterygii,Scorpaeniformes,Cottidae
Clinocottus_globiceps,Clinocottus globiceps,0.0036923182136942836,0.00598145217955039,1.805963620517821,0.08611,,Actinopterygii,Scorpaeniformes,Cottidae
Clinostomus_elongatus,Clinostomus elongatus,0.004344496670820196,0.010946980092099594,2.9756554321499324,0.08752,2.2232,Actinopterygii,Cypriniformes,Cyprinidae
Connochaetes_taurinus,Connochaetes taurinus,0.00199064284450075,0.00199064284450075,1.0,0.10163,7.3212,Mammalia,Artiodactyla,Bovidae
