121755,227,Arctopsyche_grandis,Insects/Spiders,32
63252,2295,Paratelphusa_masoniana,Crustaceans,1006.9
121755,397,Culex_quinquefasciatus,Insects/Spiders,310
2921882,2805,Neoplea_striola,Insects/Spiders,1.56
63252,2422,Anopheles_stephensi,Insects/Spiders,530
63252,361,Orconectes_virilis,Crustaceans,2230
121755,134,Oreochromis_mossambicus,Fish,887
1563662,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,680
121755,6082,Planorbella_trivolvis,Molluscs,187650
2921882,110,Leiostomus_xanthurus,Fish;Standard Test Species,7
2921882,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,11.4
63252,1706,Clinocardium_nuttallii,Molluscs,7300
2921882,352,Heteropneustes_fossilis,Fish,5600
2921882,5156,Danio_rerio,Fish;Standard Test Species,1850
1563662,339,Cancer_magister,Crustaceans,190
121755,2857,Culex_fatigans,Insects/Spiders,225
2921882,11531,Plutella_xylostella,Insects/Spiders,358700
2921882,918,Notonecta_undulata,Insects/Spiders,35.2
2921882,85,Chironomus_tentans,Insects/Spiders;Standard Test Species,0.3
121755,109,Oryzias_latipes,Fish;Standard Test Species,2800
63252,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,1950
2921882,3015,Chaoborus_obscuripes,Insects/Spiders,1.13
2921882,86,Cyprinodon_variegatus,Fish;Standard Test Species,76
2921882,17737,Gambusia_yucatana,Fish,11
63252,2422,Anopheles_stephensi,Insects/Spiders,342.5
2921882,206,Xenopus_laevis,Amphibians;Standard Test Species;U.S. Invasive Species,2410
2921882,397,Culex_quinquefasciatus,Insects/Spiders,620
2921882,5778,Plea_minutissima,Insects/Spiders,2.9
2921882,81,Chironomus_plumosus,Insects/Spiders,19.79
121755,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,4.1
2921882,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,9
63252,52,Hyalella_azteca,Crustaceans;Standard Test Species,7
63252,1077,Culex_pipiens_ssp._pipiens,Insects/Spiders,333.9
2921882,574,Anguilla_anguilla,Fish,1290
2921882,366,Artemia_salina,Crustaceans,30
2921882,397,Culex_quinquefasciatus,Insects/Spiders,8.93
121755,2422,Anopheles_stephensi,Insects/Spiders,131
121755,57,Fundulus_heteroclitus,Fish;Standard Test Species,810
121755,124,Fundulus_diaphanus,Fish,240
2921882,4668,Eriocheir_sinensis,Crustaceans;U.S. Invasive Species,20000
1563662,11531,Plutella_xylostella,Insects/Spiders,7114600
63252,1640,Lymnaea_acuminata,Molluscs,36800
121755,480,Anodonta_cygnea,Molluscs,3260
121755,230,Aedes_aegypti,Insects/Spiders;Standard Test Species,347.48
121755,1009,Penaeus_indicus,Crustaceans,59.59
63252,16177,Etheostoma_rubrum,Fish;U.S. Threatened and Endangered Species,2020
121755,294,Lymnaea_stagnalis,Molluscs;Standard Test Species,14600
2921882,16,Gambusia_affinis,Fish,215
2921882,5,Daphnia_magna,Crustaceans;Standard Test Species,4.37
2921882,2994,Anas_platyrhynchos,Birds;Standard Test Species,644000
63252,23,Oncorhynchus_kisutch,Fish;Standard Test Species;U.S. Threatened and Endangered Species,6520
121755,202,Labeo_rohita,Fish,7890
63252,27,Gammarus_pseudolimnaeus,Crustaceans;Standard Test Species,13
63252,2,Lepomis_macrochirus,Fish;Standard Test Species,10000
63252,79,Pteronarcella_badia,Insects/Spiders,19
2921882,485,Oreochromis_niloticus,Fish,26.4
63252,27,Gammarus_pseudolimnaeus,Crustaceans;Standard Test Species,8
63252,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,2400
121755,384,Eucyclops_sp.,Crustaceans,1
2921882,11921,Gammarus_palustris,Crustaceans,0.19
121755,397,Culex_quinquefasciatus,Insects/Spiders,1247
2921882,15794,Culex_sitiens,Insects/Spiders,0.24
121755,919,Lestes_congener,Insects/Spiders,10
63252,2989,Cambarus_bartonii,Crustaceans,2970
121755,17201,Rana_boylii,Amphibians;U.S. Threatened and Endangered Species,2137
121755,22,Oncorhynchus_tshawytscha,Fish;Standard Test Species;U.S. Threatened and Endangered Species,33.7
2921882,2143,Menidia_peninsulae,Fish;Standard Test Species,0.5
63252,30,Lepomis_cyanellus,Fish;Standard Test Species,11200
2921882,4808,Dicrotendipes_californicus,Insects/Spiders,7
